"name","pos","sourceName","team","name_cbs","team_cbs","positionRank_cbs","overallRank_cbs","points_cbs","passAtt_cbs","passYds_cbs","passTds_cbs","passInt_cbs","rushAtt_cbs","rushYds_cbs","rushTds_cbs","rec_cbs","recYds_cbs","recTds_cbs","returnTds_cbs","twoPts_cbs","fumbles_cbs","dstPtsAllowed_cbs","dstYdsAllowed_cbs","dstSack_cbs","dstSafety_cbs","dstInt_cbs","dstFumlRec_cbs","dstFumlForce_cbs","dstBlk_cbs","dstTd_cbs","fg_cbs","xp_cbs","dstFumlRec_cbs.1","dstFumlForce_cbs.1","dstBlk_cbs.1","dstTd_cbs.1","fg_cbs.1","fga_cbs","xp_cbs.1"
"ANDREWLUCK","QB","cbs","IND","Andrew Luck","IND",1,1,384.6,643,4816,33.2,15.7,59,310,2.7,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PEYTONMANNING","QB","cbs","DEN","Peyton Manning","DEN",2,2,359.8,595,4730,35,13.3,24.1,40.1,0.3,0,0,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AARONRODGERS","QB","cbs","GB","Aaron Rodgers","GB",3,3,358.2,522,4239,33.2,11.3,44.3,252,1.7,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RUSSELLWILSON","QB","cbs","SEA","Russell Wilson","SEA",4,4,346,421,3551,25.3,13.7,104,759,4.3,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DREWBREES","QB","cbs","NO","Drew Brees","NO",5,5,338.2,636,5138,28.7,17.5,28.9,73,1.6,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CAMNEWTON","QB","cbs","CAR","Cam Newton","CAR",6,6,331.6,519,3805,23.6,17.1,120,650,5.4,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TOMBRADY","QB","cbs","NE","Tom Brady","NE",7,7,327.6,607,4293,31.6,13,37.9,52,0.9,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TONYROMO","QB","cbs","DAL","Tony Romo","DAL",8,8,326.6,477,4117,32.3,11.9,25.6,69,0.3,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANTONIOBROWN","WR","cbs","PIT","Antonio Brown","PIT",1,9,324.6,0,0,0,0,0,0,0,121,1583,9.7,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BENROETHLISBERGER","QB","cbs","PIT","Ben Roethlisberger","PIT",9,10,320.6,606,4730,28.4,12.6,29.8,59,0.3,0,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAYCUTLER","QB","cbs","CHI","Jay Cutler","CHI",10,11,315,602,4121,29.8,19.1,39.4,206,2,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOEFLACCO","QB","cbs","BAL","Joe Flacco","BAL",11,12,311.4,583,4087,29.2,15.6,39.8,100,1.8,0,0,0,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATTFORTE","RB","cbs","CHI","Matt Forte","CHI",1,13,309.8,0,0,0,0,240,998,7.7,93,717,3.5,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATTHEWSTAFFORD","QB","cbs","DET","Matthew Stafford","DET",12,14,309.2,628,4561,26.2,14.3,39.2,103,1.5,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEMARYIUSTHOMAS","WR","cbs","DEN","Demaryius Thomas","DEN",2,15,306.6,0,0,0,0,0,0,0,103,1483,10.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ODELLBECKHAM","WR","cbs","NYG","Odell Beckham","NYG",3,16,305.6,0,0,0,0,0,0,0,103,1376,12.2,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ELIMANNING","QB","cbs","NYG","Eli Manning","NYG",13,17,302,581,4477,27.9,17.2,14.3,36.1,0.8,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RYANTANNEHILL","QB","cbs","MIA","Ryan Tannehill","MIA",14,18,300.8,585,4092,25.1,15,50,320,1,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MATTRYAN","QB","cbs","ATL","Matt Ryan","ATL",15,19,299.6,626,4658,26.3,17.8,21.9,114,0.2,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYRODTAYLOR","QB","cbs","BUF","Tyrod Taylor","BUF",16,20,298,545,3753,24.3,15.7,72,438,1.9,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JULIOJONES","WR","cbs","ATL","Julio Jones","ATL",4,21,291.6,0,0,0,0,0,0,0,112,1516,6.4,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEZBRYANT","WR","cbs","DAL","Dez Bryant","DAL",5,22,285.8,0,0,0,0,0,0,0,85,1307,13.1,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARSONPALMER","QB","cbs","ARI","Carson Palmer","ARI",17,23,282.2,573,4119,25.6,12.8,22.1,34.4,0.2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COLINKAEPERNICK","QB","cbs","SF","Colin Kaepernick","SF",18,24,281.6,463,3309,19.6,13.5,103,697,2,0,0,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARSHAWNLYNCH","RB","cbs","SEA","Marshawn Lynch","SEA",2,25,281.5,0,0,0,0,302,1482,10.8,33.5,342,3.5,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PHILIPRIVERS","QB","cbs","SD","Philip Rivers","SD",19,26,281,548,4148,26.8,19.6,33.9,98,0.3,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SAMBRADFORD","QB","cbs","PHI","Sam Bradford","PHI",20,27,277,492,3900,25.9,13.2,43,134,0.5,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RANDALLCOBB","WR","cbs","GB","Randall Cobb","GB",6,28,276,0,0,0,0,0,0,0,95,1289,10.3,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAMAALCHARLES","RB","cbs","KC","Jamaal Charles","KC",3,29,274.7,0,0,0,0,217,1046,9.8,46.9,389,7.7,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EDDIELACY","RB","cbs","GB","Eddie Lacy","GB",4,30,273,0,0,0,0,286,1337,9.5,43.2,409,3.1,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEDDYBRIDGEWATER","QB","cbs","MIN","Teddy Bridgewater","MIN",21,31,268.2,505,3762,23,19.3,55,278,1.5,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CJANDERSON","RB","cbs","DEN","C.J. Anderson","DEN",5,32,264.2,0,0,0,0,256,1162,10.2,46.8,442,2.4,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LEVEONBELL","RB","cbs","PIT","Le'Veon Bell","PIT",6,33,260.8,0,0,0,0,215,934,7.9,65,630,1.8,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CALVINJOHNSON","WR","cbs","DET","Calvin Johnson","DET",7,33,260.8,0,0,0,0,0,0,0,86,1244,9.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EMMANUELSANDERS","WR","cbs","DEN","Emmanuel Sanders","DEN",8,35,260.6,0,0,0,0,0,0,0,94,1261,8.1,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JULIANEDELMAN","WR","cbs","NE","Julian Edelman","NE",9,36,260.2,0,0,0,0,0,0,0,107,1126,7.5,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ROBGRONKOWSKI","TE","cbs","NE","Rob Gronkowski","NE",1,37,257.8,0,0,0,0,0,0,0,83,1184,10.7,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALEXSMITH","QB","cbs","KC","Alex Smith","KC",22,38,257,467,3145,23.1,11.2,57,323,0.9,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AJGREEN","WR","cbs","CIN","A.J. Green","CIN",10,39,255.2,0,0,0,0,0,0,0,94,1271,7.8,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARCUSMARIOTA","QB","cbs","TEN","Marcus Mariota","TEN",23,40,252.2,469,3422,19.6,16.4,62,380,2.3,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JAMEISWINSTON","QB","cbs","TB","Jameis Winston","TB",24,41,251.4,525,3760,22.5,19.4,41.6,207,1.3,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDINCOOKS","WR","cbs","NO","Brandin Cooks","NO",11,42,249.4,0,0,0,0,0,0,0,96,1140,5.8,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDYDALTON","QB","cbs","CIN","Andy Dalton","CIN",25,43,243.6,502,3496,21.8,19.7,58,197,3,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MIKEEVANS","WR","cbs","TB","Mike Evans","TB",12,44,243.4,0,0,0,0,0,0,0,78,1166,9.7,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TYHILTON","WR","cbs","IND","T.Y. Hilton","IND",13,45,242.4,0,0,0,0,0,0,0,89,1326,5,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEMARCOMURRAY","RB","cbs","PHI","DeMarco Murray","PHI",7,46,240.2,0,0,0,0,245,1111,11,49,368,0.7,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLAKEBORTLES","QB","cbs","JAC","Blake Bortles","JAC",26,47,239.2,578,3610,18.5,24.6,63,486,0.6,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALSHONJEFFERY","WR","cbs","CHI","Alshon Jeffery","CHI",14,47,239.2,0,0,0,0,0,0,0,85,1074,8.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEREKCARR","QB","cbs","OAK","Derek Carr","OAK",27,49,235,614,3540,23.1,17.3,32.8,126,0.3,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NICKFOLES","QB","cbs","STL","Nick Foles","STL",28,50,234.2,488,3430,22.6,19.7,39.7,156,1.3,0,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ADRIANPETERSON","RB","cbs","MIN","Adrian Peterson","MIN",8,51,234,0,0,0,0,296,1396,7.8,36,234,1.4,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SEAHAWKS","DST","cbs","SEA","Seahawks","SEA",1,52,228,0,0,0,0,0,0,0,0,0,0,0,0,0,299,4661,42,1,20,15,21,0,3,0,0,15,21,0,3,0,0,0
"GOLDENTATE","WR","cbs","DET","Golden Tate","DET",15,53,219.6,0,0,0,0,0,0,0,84,1148,4.7,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JUSTINFORSETT","RB","cbs","BAL","Justin Forsett","BAL",9,54,216.6,0,0,0,0,231,1229,5.6,45.6,286,1,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREJOHNSON","WR","cbs","IND","Andre Johnson","IND",16,55,215.6,0,0,0,0,0,0,0,86,1063,6.2,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEREMYHILL","RB","cbs","CIN","Jeremy Hill","CIN",10,56,212,0,0,0,0,267,1212,8.8,29.6,246,0.8,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOSHMCCOWN","QB","cbs","CLE","Josh McCown","CLE",29,57,210.8,461,3514,15.5,15.8,39,201,2,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MELVINGORDON","RB","cbs","SD","Melvin Gordon","SD",11,58,210.4,0,0,0,0,217,979,7.1,42.4,342,1.6,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRIANHOYER","QB","cbs","HOU","Brian Hoyer","HOU",30,59,206.8,481,3291,19,16,30.2,76,0.3,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JEREMYMACLIN","WR","cbs","KC","Jeremy Maclin","KC",17,60,206.2,0,0,0,0,0,0,0,70,894,9.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KEENANALLEN","WR","cbs","SD","Keenan Allen","SD",18,61,206,0,0,0,0,0,0,0,87,1026,4.6,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JARVISLANDRY","WR","cbs","MIA","Jarvis Landry","MIA",19,62,204.4,0,0,0,0,0,0,0,91,983,4.6,0,0,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LAMARMILLER","RB","cbs","MIA","Lamar Miller","MIA",12,63,201,0,0,0,0,231,1147,6.4,36.6,281,0.8,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DEANDREHOPKINS","WR","cbs","HOU","DeAndre Hopkins","HOU",20,63,201,0,0,0,0,0,0,0,76,1071,5,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LATAVIUSMURRAY","RB","cbs","OAK","Latavius Murray","OAK",13,65,200,0,0,0,0,235,1106,7.3,30.4,276,0.9,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PACKERS","DST","cbs","GB","Packers","GB",2,66,199,0,0,0,0,0,0,0,0,0,0,0,0,0,334,5737,49,0,19,12,17,0,4,0,0,12,17,0,4,0,0,0
"DOLPHINS","DST","cbs","MIA","Dolphins","MIA",3,67,198,0,0,0,0,0,0,0,0,0,0,0,0,0,326,5203,48,0,19,12,17,0,4,0,0,12,17,0,4,0,0,0
"GREGOLSEN","TE","cbs","CAR","Greg Olsen","CAR",2,68,197.4,0,0,0,0,0,0,0,78,972,5.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RODDYWHITE","WR","cbs","ATL","Roddy White","ATL",21,69,197,0,0,0,0,0,0,0,79,942,6.2,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CHIEFS","DST","cbs","KC","Chiefs","KC",4,70,196,0,0,0,0,0,0,0,0,0,0,0,0,0,333,5867,42,1,17,12,17,0,5,0,0,12,17,0,5,0,0,0
"MARTELLUSBENNETT","TE","cbs","CHI","Martellus Bennett","CHI",3,71,193.6,0,0,0,0,0,0,0,84,879,5.2,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANQUANBOLDIN","WR","cbs","SF","Anquan Boldin","SF",22,72,193.4,0,0,0,0,0,0,0,74,971,5.2,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VINCENTJACKSON","WR","cbs","TB","Vincent Jackson","TB",23,73,192.6,0,0,0,0,0,0,0,71,1067,4.3,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BILLS","DST","cbs","BUF","Bills","BUF",5,74,192,0,0,0,0,0,0,0,0,0,0,0,0,0,306,4961,46,0,18,11,15,0,4,0,0,11,15,0,4,0,0,0
"JIMMYGRAHAM","TE","cbs","SEA","Jimmy Graham","SEA",4,75,191.6,0,0,0,0,0,0,0,59,833,9.9,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TEXANS","DST","cbs","HOU","Texans","HOU",6,76,191,0,0,0,0,0,0,0,0,0,0,0,0,0,327,5593,39,0,19,13,18,0,4,0,0,13,18,0,4,0,0,0
"JORDANMATTHEWS","WR","cbs","PHI","Jordan Matthews","PHI",24,77,189.6,0,0,0,0,0,0,0,54,909,9.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARQUESCOLSTON","WR","cbs","NO","Marques Colston","NO",25,78,189.2,0,0,0,0,0,0,0,66,1015,5,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LESEANMCCOY","RB","cbs","BUF","LeSean McCoy","BUF",14,79,188.7,0,0,0,0,281,1288,4.6,29.5,200,0.7,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JOIQUEBELL","RB","cbs","DET","Joique Bell","DET",15,80,186.3,0,0,0,0,191,804,6.2,40.9,417,0.8,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRANDONMARSHALL","WR","cbs","NYJ","Brandon Marshall","NYJ",26,81,186,0,0,0,0,0,0,0,63,848,7.6,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AMARICOOPER","WR","cbs","OAK","Amari Cooper","OAK",27,82,185.8,0,0,0,0,0,0,0,73,892,5.5,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CARDINALS","DST","cbs","ARI","Cardinals","ARI",7,83,185,0,0,0,0,0,0,0,0,0,0,0,0,0,303,5283,39,1,17,11,15,0,4,0,0,11,15,0,4,0,0,0
"RAVENS","DST","cbs","BAL","Ravens","BAL",7,83,185,0,0,0,0,0,0,0,0,0,0,0,0,0,318,5338,45,1,15,13,17,0,3,0,0,13,17,0,3,0,0,0
"SAMMYWATKINS","WR","cbs","BUF","Sammy Watkins","BUF",28,85,184.2,0,0,0,0,0,0,0,54,945,7.7,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ALLENROBINSON","WR","cbs","JAC","Allen Robinson","JAC",29,86,183.8,0,0,0,0,0,0,0,79,901,3.9,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"STEVESMITH","WR","cbs","BAL","Steve Smith","BAL",30,87,183.4,0,0,0,0,0,0,0,72,943,4.8,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MARKINGRAM","RB","cbs","NO","Mark Ingram","NO",16,88,183.3,0,0,0,0,212,1000,7.9,30.9,180,0.9,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KIRKCOUSINS","QB","cbs","WAS","Kirk Cousins","WAS",31,89,182.8,506,3870,16.7,28.4,17,59,0.2,0,0,0,0,0,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ARIANFOSTER","RB","cbs","HOU","Arian Foster","HOU",17,90,180.3,0,0,0,0,192,861,5.5,31.3,272,3.4,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ANDREELLINGTON","RB","cbs","ARI","Andre Ellington","ARI",18,91,179.8,0,0,0,0,190,771,3,48,441,2.2,0,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRAVISKELCE","TE","cbs","KC","Travis Kelce","KC",5,92,178.2,0,0,0,0,0,0,0,66,831,7,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RASHADJENNINGS","RB","cbs","NYG","Rashad Jennings","NYG",19,93,176.8,0,0,0,0,209,818,4.2,46.8,364,0.9,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BENGALS","DST","cbs","CIN","Bengals","CIN",9,94,176,0,0,0,0,0,0,0,0,0,0,0,0,0,302,5360,28,0,21,12,16,0,3,0,0,12,16,0,3,0,0,0
