"name","player","pos","team","rank","risk"
NA,NA,"DE",NA,1.2,0.9
NA,NA,"LB",NA,2.3,0.6
NA,NA,"LB",NA,2.8,0.7
NA,NA,"DE",NA,5.3,1.9
NA,NA,"DE",NA,6.5,2.4
NA,NA,"LB",NA,6.5,1.6
NA,NA,"LB",NA,7.9,3.7
NA,NA,"LB",NA,8.6,5.3
NA,NA,"LB",NA,8.8,2.1
NA,NA,"LB",NA,10.1,2.6
NA,NA,"DE",NA,13.2,4.7
NA,NA,"DE",NA,14.9,3.8
NA,NA,"DE",NA,15.1,3.9
NA,NA,"LB",NA,18.1,6.2
NA,NA,"S",NA,18.4,5
NA,NA,"DE",NA,19.4,6.7
NA,NA,"LB",NA,20,14.8
NA,NA,"S",NA,21,4.6
NA,NA,"S",NA,22.1,5.1
NA,NA,"LB",NA,23.3,8.9
NA,NA,"LB",NA,23.7,14.4
NA,NA,"DE",NA,24.1,6.9
NA,NA,"DE",NA,24.2,6.5
NA,NA,"S",NA,26.2,6.1
NA,NA,"DE",NA,27.8,11.2
NA,NA,"LB",NA,27.8,11.2
NA,NA,"S",NA,28.7,7.5
NA,NA,"LB",NA,31.6,10
NA,NA,"DE",NA,31.6,16
NA,NA,"LB",NA,32.4,14.2
NA,NA,"LB",NA,32.6,7
NA,NA,"LB",NA,35.1,11.5
NA,NA,"LB",NA,37.2,11.5
NA,NA,"LB",NA,37.9,7
NA,NA,"DE",NA,38.8,9.9
NA,NA,"DE",NA,40.3,4.7
NA,NA,"LB",NA,40.7,18.9
NA,NA,"S",NA,40.9,6.8
NA,NA,"DE",NA,42.4,10.9
NA,NA,"LB",NA,43,14.3
NA,NA,"LB",NA,43.7,10.3
NA,NA,"DT",NA,46.5,9
NA,NA,"LB",NA,49.7,25.3
NA,NA,"LB",NA,49.8,13.3
NA,NA,"DE",NA,50.3,29
NA,NA,"LB",NA,53.2,14.7
NA,NA,"S",NA,53.3,11
NA,NA,"LB",NA,53.9,26.1
NA,NA,"DE",NA,54.2,11.9
NA,NA,"LB",NA,54.4,15.7
NA,NA,"S",NA,54.6,12.7
NA,NA,"LB",NA,54.8,18.1
NA,NA,"DE",NA,54.9,48
NA,NA,"LB",NA,56.6,29.9
NA,NA,"LB",NA,57.8,13.9
NA,NA,"DE",NA,57.8,35.5
NA,NA,"DT",NA,60.3,8.6
NA,NA,"S",NA,61.4,22.8
NA,NA,"LB",NA,62.7,17
NA,NA,"S",NA,62.9,17.9
NA,NA,"S",NA,63.6,13.8
NA,NA,"LB",NA,64.2,15.7
NA,NA,"S",NA,64.5,11.7
NA,NA,"LB",NA,65.3,21.2
NA,NA,"LB",NA,65.7,18.5
NA,NA,"DT",NA,65.8,25
NA,NA,"DT",NA,66.3,14.2
NA,NA,"LB",NA,66.3,14.7
NA,NA,"DT",NA,67.8,14.3
NA,NA,"DE",NA,67.9,8.3
NA,NA,"LB",NA,68.2,8.8
NA,NA,"LB",NA,68.4,15.6
NA,NA,"LB",NA,69.3,37.1
NA,NA,"LB",NA,69.5,16.8
NA,NA,"LB",NA,69.7,19.1
NA,NA,"DE",NA,70.7,12.3
NA,NA,"S",NA,70.8,14.2
NA,NA,"S",NA,71.7,12.6
NA,NA,"DE",NA,73.9,25.7
NA,NA,"S",NA,73.9,13.6
NA,NA,"LB",NA,75.7,29.9
NA,NA,"LB",NA,76.9,14.1
NA,NA,"S",NA,78.4,14.3
NA,NA,"CB",NA,78.9,19
NA,NA,"S",NA,79.3,21.1
NA,NA,"DE",NA,80.8,18.9
NA,NA,"CB",NA,81.5,58.5
NA,NA,"S",NA,82.2,32.7
NA,NA,"LB",NA,82.6,26.2
NA,NA,"DT",NA,84.8,25.7
NA,NA,"LB",NA,84.9,14.3
NA,NA,"S",NA,86.4,15.5
NA,NA,"LB",NA,87.3,24.5
NA,NA,"CB",NA,87.5,48.5
NA,NA,"LB",NA,89,17.8
NA,NA,"LB",NA,89.4,17
NA,NA,"DE",NA,89.7,11.4
NA,NA,"S",NA,90.7,22.9
NA,NA,"CB",NA,90.9,16.2
NA,NA,"LB",NA,91,17.7
NA,NA,"S",NA,91.8,21.3
NA,NA,"DT",NA,93.4,31.9
NA,NA,"S",NA,93.9,14.3
NA,NA,"S",NA,94,14.1
NA,NA,"DT",NA,95.3,13.7
NA,NA,"S",NA,97,14.1
NA,NA,"S",NA,97.8,34.5
NA,NA,"DE",NA,97.9,18.1
NA,NA,"S",NA,97.9,18.1
NA,NA,"DT",NA,98,26
NA,NA,"DT",NA,98,18.6
NA,NA,"S",NA,98.3,34.9
NA,NA,"LB",NA,99.3,21.9
NA,NA,"S",NA,101.8,19.4
NA,NA,"LB",NA,101.9,31.1
NA,NA,"DE",NA,101.9,28.3
NA,NA,"LB",NA,102,29.7
NA,NA,"DT",NA,102.7,13
NA,NA,"LB",NA,102.8,23.7
NA,NA,"LB",NA,102.8,20.2
NA,NA,"DE",NA,106,14
NA,NA,"LB",NA,108,17.1
NA,NA,"DE",NA,108.6,41.9
NA,NA,"LB",NA,111,4
NA,NA,"S",NA,111.3,24
NA,NA,"DT",NA,112.3,25.7
NA,NA,"LB",NA,112.4,22.8
NA,NA,"S",NA,114.8,45.1
NA,NA,"S",NA,114.8,26.8
NA,NA,"CB",NA,116,19
NA,NA,"DE",NA,116.6,50.5
NA,NA,"S",NA,118,36.9
NA,NA,"LB",NA,119.5,54.6
NA,NA,"LB",NA,120,64.6
NA,NA,"LB",NA,121.2,53.6
NA,NA,"LB",NA,121.8,48.8
NA,NA,"S",NA,121.8,33.2
NA,NA,"DT",NA,122,32
NA,NA,"LB",NA,122.8,34.4
NA,NA,"LB",NA,124.3,51.9
NA,NA,"CB",NA,125.3,22.2
NA,NA,"DE",NA,126,30
NA,NA,"LB",NA,126.3,18.3
NA,NA,"S",NA,127.7,14.3
NA,NA,"S",NA,128.4,19.1
NA,NA,"S",NA,129.4,39.4
NA,NA,"LB",NA,130,51.3
NA,NA,"LB",NA,130.3,54.6
NA,NA,"LB",NA,130.7,44.9
NA,NA,"LB",NA,131.5,38.5
NA,NA,"DE",NA,131.6,42.1
NA,NA,"LB",NA,131.7,70.6
NA,NA,"S",NA,132,86
NA,NA,"DE",NA,133,47.7
NA,NA,"DT",NA,134,41.1
NA,NA,"DE",NA,135,21
NA,NA,"CB",NA,135.5,2.5
NA,NA,"DE",NA,136.3,28.8
NA,NA,"LB",NA,140,43
NA,NA,"S",NA,140.5,59.5
NA,NA,"DE",NA,140.5,41.1
NA,NA,"LB",NA,140.5,40.5
NA,NA,"S",NA,141,12
NA,NA,"DE",NA,141.5,3.5
NA,NA,"DT",NA,143,36.9
NA,NA,"CB",NA,147.2,40.4
NA,NA,"S",NA,147.5,46.2
NA,NA,"CB",NA,147.5,14.5
NA,NA,"DE",NA,148.5,83.5
NA,NA,"DE",NA,148.7,43
NA,NA,"S",NA,150.5,13.5
NA,NA,"DE",NA,150.8,34.1
NA,NA,"LB",NA,151.3,59.1
NA,NA,"LB",NA,151.5,29.5
NA,NA,"DE",NA,151.7,5.3
NA,NA,"LB",NA,152,39
NA,NA,"LB",NA,152,34
NA,NA,"CB",NA,152.3,30.2
NA,NA,"LB",NA,154.8,23.5
NA,NA,"S",NA,157.3,18.2
NA,NA,"LB",NA,158.5,51.5
NA,NA,"CB",NA,158.5,37.2
NA,NA,"LB",NA,161,51
NA,NA,"DE",NA,162.3,14.9
NA,NA,"LB",NA,165,25.2
NA,NA,"LB",NA,168.5,63.5
NA,NA,"LB",NA,171,63
NA,NA,"DE",NA,172.5,25.8
NA,NA,"DT",NA,173.5,37.5
NA,NA,"DE",NA,173.5,22.5
NA,NA,"S",NA,173.5,16.5
NA,NA,"LB",NA,174,57
NA,NA,"LB",NA,178,57
NA,NA,"LB",NA,179,18
NA,NA,"DE",NA,179.5,30.5
NA,NA,"DE",NA,180,37
NA,NA,"LB",NA,187,7
NA,NA,"DT",NA,187.5,15.5
NA,NA,"LB",NA,190,13
NA,NA,"LB",NA,192,3
NA,NA,"LB",NA,192.5,0.5
NA,NA,"DE",NA,195.5,37.5
NA,NA,"DE",NA,196,18
NA,NA,"LB",NA,202,28
NA,NA,"CB",NA,202.5,13.5
NA,NA,"LB",NA,203,38
NA,NA,"DE",NA,206,30
NA,NA,"LB",NA,210.5,32.5
NA,NA,"LB",NA,211.5,32.5
NA,NA,"DT",NA,212.5,0.5
NA,NA,"DE",NA,214.5,23.5
NA,NA,"S",NA,222.5,3.5
NA,NA,"LB",NA,230.5,8.5
NA,NA,"LB",NA,232,8
